Class,apr10,apr11,apr12,apr13,Total_Seconds,Total_Events
501,128,0,222,185,535,3
502,0,27,362,0,389,4
503,0,0,251,0,251,2
505,0,0,4,29,33,2
506,80,0,149,175,404,4
508,144,0,0,98,242,4
510,0,0,0,159,159,1
511,53,166,227,0,446,4
512,0,395,517,0,912,3
513,0,20,750,383,1153,4
515,0,0,299,299,598,2
516,18,13,0,0,31,2
517,0,26,2,99,127,3
518,0,5,39,88,132,3
520,116,134,626,261,1137,6
521,0,0,2,0,2,1
522,0,548,282,0,830,5
523,2166,820,3930,1963,8879,15
cafeteria,2128,1664,2018,604,6414,87
cleaning,97,396,742,211,1446,24
hallway,782,22,556,0,1360,30
kitchen,1297,2114,4065,2572,10048,56
nurse station,3847,4140,1899,1707,11593,75
