MethodKey,Method,ProtocolKey,Protocol,Split,Seed,Scope,Class,Precision,Recall,F1,Support,Predicted_Support
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,501,0.6666666666666666,0.2125,0.3222748815165877,160,51
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,502,0.9523809523809523,0.3418803418803419,0.5031446540880503,117,42
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,503,0.8695652173913043,0.5333333333333333,0.6611570247933884,75,46
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,505,1.0,0.9,0.9473684210526315,10,9
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,506,0.8428571428571429,0.9752066115702479,0.9042145593869731,121,140
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,508,0.9111111111111111,0.5616438356164384,0.6949152542372882,73,45
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,510,0.8260869565217391,0.3958333333333333,0.5352112676056338,48,23
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,511,0.9302325581395349,0.5970149253731343,0.7272727272727273,134,86
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,512,0.728110599078341,0.5766423357664233,0.6435845213849287,274,217
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,513,0.9236641221374046,0.34971098265895956,0.5073375262054507,346,131
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,515,0.937007874015748,0.664804469273743,0.7777777777777778,179,127
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,516,1.0,0.7777777777777778,0.875,9,7
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,517,1.0,0.3684210526315789,0.5384615384615384,38,14
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,518,0.48,0.3,0.36923076923076925,40,25
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,520,0.9642857142857143,0.4750733137829912,0.6365422396856582,341,168
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,521,0.00020230629172567267,1.0,0.0004045307443365696,1,4943
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,522,0.7157360406091371,0.5662650602409639,0.6322869955156951,249,197
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,523,0.9547738693467337,0.07132132132132132,0.13272790778903248,2664,199
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cafeteria,0.7694317439581972,0.6122661122661123,0.6819102749638205,1924,1531
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cleaning,0.7719298245614035,0.6082949308755761,0.6804123711340206,434,342
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,hallway,0.8554913294797688,0.7254901960784313,0.7851458885941645,408,346
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,kitchen,0.7787177203918076,0.5802919708029197,0.665019011406844,3014,2246
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,split,nurse station,0.9309806371018113,0.8571017826336975,0.8925149700598802,3478,3202
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,501,0.9886363636363636,0.54375,0.7016129032258065,160,88
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,502,0.9696969696969697,0.5470085470085471,0.6994535519125683,117,66
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,503,1.0,0.9866666666666667,0.9932885906040269,75,74
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,505,1.0,0.9,0.9473684210526315,10,9
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,506,1.0,1.0,1.0,121,121
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,508,1.0,1.0,1.0,73,73
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,510,1.0,0.9583333333333334,0.9787234042553191,48,46
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,511,0.9772727272727273,0.9626865671641791,0.9699248120300752,134,132
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,512,0.9757085020242915,0.8795620437956204,0.9251439539347409,274,247
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,513,0.9853479853479854,0.7774566473988439,0.8691437802907916,346,273
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,515,1.0,0.88268156424581,0.9376854599406528,179,158
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,516,1.0,0.7777777777777778,0.875,9,7
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,517,1.0,1.0,1.0,38,38
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,518,0.875,0.875,0.875,40,40
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,520,0.9820143884892086,0.8005865102639296,0.8820678513731826,341,278
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,521,1.0,1.0,1.0,1,1
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,522,1.0,0.7951807228915663,0.8859060402684564,249,198
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,523,0.6793756397134084,0.9966216216216216,0.8079732197200243,2664,3908
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cafeteria,0.984264785675529,0.9428274428274428,0.9631006105654367,1924,1843
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cleaning,0.953125,0.8433179723502304,0.8948655256723717,434,384
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,hallway,0.9699453551912568,0.8700980392156863,0.917312661498708,408,366
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,kitchen,0.9937913907284768,0.7966157929661579,0.8843462246777164,3014,2416
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,nurse station,0.994660338178582,0.9640598044853363,0.9791210395678202,3478,3371
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,501,0.9886363636363636,0.54375,0.7016129032258065,160,88
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,502,0.9696969696969697,0.5470085470085471,0.6994535519125683,117,66
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,503,1.0,0.9866666666666667,0.9932885906040269,75,74
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,505,1.0,0.9,0.9473684210526315,10,9
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,506,1.0,1.0,1.0,121,121
