MethodKey,Method,ProtocolKey,Protocol,Split,Seed,Macro_F1,Weighted_F1,Accuracy,Eval_N,True_Classes,Pred_Classes,Real_Train_N_Common,Real_Train_Classes_Common,Test_Classes,Unseen_Test_Classes,Unseen_Test_Class_List,Unseen_Test_Seconds,TCN_Selected_Epoch,Runtime_Sec
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,seed42,42.0,0.6136484831698782,0.6190309758760492,0.5499045059064865,14137,23,23,32984,23,23,0,,0,,0.42668676376342773
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,0.9124799152430579,0.9063596710572304,0.903091179175214,14137,23,23,32984,23,23,0,,0,,0.0008761882781982422
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,0.9124799152430579,0.9063596710572304,0.903091179175214,14137,23,23,32984,23,23,0,,0,,0.015961170196533203
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,0.7455896155604116,0.8513757738744684,0.8502511140977577,14137,23,22,32984,23,23,0,,0,,0.01671147346496582
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,0.7913572624577331,0.820881436447852,0.8220273042371083,14137,23,22,32984,23,23,0,,0,,0.0006940364837646484
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,0.838253174825714,0.8928240150066311,0.8901464242767206,14137,23,22,32984,23,23,0,,0,,0.0011870861053466797
rf_basic10_symmetric_smote,Random Forest (10 s RSSI summary + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,0.6288080996369425,0.7138816619969356,0.7138714012874019,14137,23,22,32984,23,23,0,,0,,0.015163660049438477
rf_lagstack10,Random Forest (10 s causal lag-stack features),row_random,Naive stratified row-random 70/30,seed42,42.0,0.5291299986962157,0.5463629597143657,0.4919714225083115,14137,23,23,32984,23,23,0,,0,,0.5965762138366699
tcn10,Causal TCN (10 s RSSI + availability sequence),row_random,Naive stratified row-random 70/30,seed42,42.0,0.5545125966365039,0.6369175569789584,0.6416495720449883,14137,23,22,32984,23,23,0,,0,38.0,35.03265190124512
rf_topology10,Topology-Augmented Random Forest (10 s RSSI summary + floor-plan graph features),row_random,Naive stratified row-random 70/30,seed42,42.0,0.6168876346841371,0.6192865270118749,0.549833769540921,14137,23,23,32984,23,23,0,,0,,0.7792377471923828
ensemble_calibrated,Calibrated Multi-Resolution RF-XGBoost Ensemble (11 s temporal voting),row_random,Naive stratified row-random 70/30,seed42,42.0,0.9001228129892936,0.8777310811493144,0.8753625238735234,14137,23,23,32984,23,23,0,,0,,3.6564786434173584
ensemble_room510,Calibrated Multi-Resolution RF-XGBoost Ensemble + class-510 probability recovery,row_random,Naive stratified row-random 70/30,seed42,42.0,0.9013618020443919,0.877871870070252,0.8755039966046545,14137,23,23,32984,23,23,0,,0,,3.4421300888061523
