MethodKey,Method,ProtocolKey,Protocol,Macro_F1,Macro_F1_SD,Weighted_F1,Weighted_F1_SD,Accuracy,Accuracy_SD,Eval_N,True_Classes,Pred_Classes,Split_Count
rf_basic10,Random Forest (10 s RSSI summary features),row_random,Naive stratified row-random 70/30,0.627691297387053,0.017068947260830122,0.6607212140258364,0.052590581909356754,0.6185895168706231,0.08951529853488151,14137.0,23.0,22.6,5
rf_basic10,Random Forest (10 s RSSI summary features),block45_random,45 s block-group random 70/30 + 59 s purge,0.30171359765050665,0.03147592706317786,0.5747683771214007,0.0488202738885085,0.5906389906389906,0.07389937222526972,12285.0,19.0,18.0,5
rf_basic10,Random Forest (10 s RSSI summary features),event_random,Event-group random 70/30 + 59 s purge,0.23676504872862886,0.03573573803385363,0.5276003182206136,0.04815238224474513,0.524328812555538,0.07508253593815897,14109.6,21.0,19.0,5
rf_basic10,Random Forest (10 s RSSI summary features),lodo,Leave-one-day-out (Apr11-Apr13),0.2871055590151645,0.0,0.5371797588613394,0.0,0.5541982627878119,0.0,36265.0,23.0,23.0,3
rf_basic10,Random Forest (10 s RSSI summary features),forward,Strict expanding-forward,0.2561260072930916,0.0,0.5293084938037965,0.0,0.5532607197021921,0.0,36265.0,23.0,21.0,3
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,0.9102379267868903,0.016252044478805447,0.8934027907159756,0.031573231423191815,0.8791964348871755,0.055773648349823374,14137.0,23.0,23.0,5
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),block45_random,45 s block-group random 70/30 + 59 s purge,0.30345218514367117,0.012446940103859352,0.6219732388409346,0.0067658276380432895,0.642067562067562,0.006084458706675428,12285.0,19.0,21.6,5
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),event_random,Event-group random 70/30 + 59 s purge,0.19926421942812783,0.03507823847697302,0.5395147767301938,0.06915958147946084,0.5406720013568445,0.08226203019297564,14109.6,21.0,22.0,5
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),0.25392521270870405,0.0,0.5622731359678443,0.0,0.5675996139528471,0.0,36265.0,23.0,23.0,3
xgb_rich60_kl_full_smote,XGBoost (60 s rich features + KL-full relabeling + SMOTE),forward,Strict expanding-forward,0.25465337033765545,0.0,0.5528953370339994,0.0,0.5556045774162416,0.0,36265.0,23.0,23.0,3
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,0.9102379267868903,0.016252044478805447,0.8934027907159756,0.031573231423191815,0.8791964348871755,0.055773648349823374,14137.0,23.0,23.0,5
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),block45_random,45 s block-group random 70/30 + 59 s purge,0.2698044555366531,0.01829217702022448,0.5795475672264172,0.05872817721027527,0.5798127798127798,0.08742268318041622,12285.0,19.0,22.2,5
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),event_random,Event-group random 70/30 + 59 s purge,0.19788273284570132,0.0467959048875446,0.5354428792643074,0.06813744213384389,0.5268584168281766,0.08089641432557938,14109.6,21.0,22.0,5
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),0.2397383028205344,0.0,0.5259248111379538,0.0,0.49518819798703984,0.0,36265.0,23.0,23.0,3
xgb_rich60_symmetric_smote,XGBoost (60 s rich features + symmetric relabeling + SMOTE),forward,Strict expanding-forward,0.2524468445040312,0.0,0.5558369497957533,0.0,0.5571487660278506,0.0,36265.0,23.0,23.0,3
